,Instance,Income
0,111994,21401.287853083573
1,111995,-28367.965725536924
2,111996,45265.249400789384
3,111997,166601.60888758954
4,111998,3813.640518973116
5,111999,123666.78079431271
6,112000,110696.21492983587
7,112001,69618.22475628182
8,112002,58790.577143575065
9,112003,100801.4070108179
10,112004,-48335.40700611845
11,112005,189047.2390009598
12,112006,-46296.95409769006
13,112007,109726.8906328124
14,112008,319672.79719352955
15,112009,80241.46373884287
16,112010,44273.60989051545
17,112011,-6016.180057598278
18,112012,35790.19845436374
19,112013,63444.59055922972
20,112014,140737.67788814474
21,112015,7496.507032623049
22,112016,66417.61501298798
23,112017,-4154.047273813281
24,112018,215979.04565937864
25,112019,55825.01597503992
26,112020,-38938.610986815766
27,112021,-35383.79090228444
28,112022,90341.56187524786
29,112023,101285.13531407109
30,112024,-41420.0805423134
31,112025,87117.4826453831
32,112026,87287.03118671989
33,112027,56531.771590687335
34,112028,11204.901196064427
35,112029,35849.97029797081
36,112030,177633.51960365847
37,112031,232319.2119931411
38,112032,222791.7969434741
39,112033,110384.62961582933
40,112034,409131.29141684575
41,112035,104195.99026409583
42,112036,196122.11086031003
43,112037,166829.62311138632
44,112038,190459.9604035914
45,112039,23703.16228610184
46,112040,83468.25985856866
47,112041,80069.54464210477
48,112042,73724.846049082
49,112043,26716.657653998118
50,112044,30504.011855048127
51,112045,49214.99053142546
52,112046,278547.1319367704
53,112047,24602.510370408185
54,112048,-77161.64546490274
55,112049,108759.30982027529
56,112050,14958.756308962591
57,112051,57431.4514776133
58,112052,135103.80726085044
59,112053,182626.31406372087
60,112054,90524.94534857571
61,112055,-33755.34950907808
62,112056,104774.99939937983
63,112057,-16250.00696481485
64,112058,119935.80043129437
65,112059,-5288.47405314073
66,112060,304300.0673021008
67,112061,166525.8767862902
68,112062,200290.66314632818
69,112063,66519.84534891415
70,112064,-31186.458324835636
71,112065,40661.522110919934
72,112066,7941.141425959766
73,112067,128759.9842192079
74,112068,139196.6005196059
75,112069,263218.49027972436
76,112070,334452.9423752134
77,112071,94024.43453960912
78,112072,97430.72085229866
79,112073,22905.19912384404
80,112074,19037.63368933834
81,112075,-15944.777031105012
82,112076,136345.06809915695
83,112077,711602.1307225428
84,112078,-18709.402982449625
85,112079,236803.92520123906
86,112080,140842.50483751576
87,112081,569262.9834670215
88,112082,-15653.49300026521
89,112083,93675.78455139836
90,112084,20661.020035580266
91,112085,57120.63339379197
92,112086,522.1833827779628
93,112087,76854.17392037949
94,112088,120154.68924421072
95,112089,22761.016516669188
96,112090,179010.61381815793
97,112091,23462.902785674203
98,112092,9953.429699730128
99,112093,108057.5940954606
100,112094,-3935.7961727008224
101,112095,6164.100897041149
102,112096,165484.4214873989
103,112097,11186.754767559003
104,112098,-48808.76742789289
105,112099,49581.00830774987
106,112100,39133.468943296
107,112101,331834.1848034519
108,112102,-13231.524603133556
109,112103,150149.66465906147
110,112104,67044.56820346136
111,112105,113455.43734471453
112,112106,112662.69867504947
113,112107,139433.06212043017
114,112108,113475.3148295423
115,112109,14300.64383023046
116,112110,86758.70089292759
117,112111,-7058.803483511321
118,112112,53585.42883403413
119,112113,75848.81748971576
120,112114,7798.923156427685
121,112115,25646.628508365247
122,112116,47650.23271080898
123,112117,108465.30432334682
124,112118,42160.51243865583
125,112119,48598.301480083726
126,112120,347993.21131328726
127,112121,128065.37796256132
128,112122,406584.97655835235
129,112123,347286.60648320476
130,112124,99731.9915979756
131,112125,167533.578212169
132,112126,185727.87844791543
133,112127,-23200.170734918676
134,112128,59579.5924179405
135,112129,118184.46263534995
136,112130,99491.05971975857
137,112131,101893.37597046327
138,112132,67913.14656692185
139,112133,280824.8107202477
140,112134,54356.06884401571
141,112135,-65556.51336790575
142,112136,57781.744424312375
143,112137,-12802.256293945946
144,112138,3118.913716522511
145,112139,56217.24006765522
146,112140,45232.13340513501
147,112141,28864.931319647934
148,112142,82917.40245602094
149,112143,281320.1794815217
150,112144,-54594.26661352813
151,112145,10197.424770864658
152,112146,85495.65767243784
153,112147,229786.92465859698
154,112148,71011.92794003105
155,112149,47366.16894122725
156,112150,-32714.367648095358
157,112151,244459.44400638575
158,112152,148246.36185626313
159,112153,48782.83200005861
160,112154,102552.76115216175
161,112155,78063.14338861452
162,112156,132334.84028456826
163,112157,133482.45681528375
164,112158,64921.93036819808
165,112159,285219.7236546292
166,112160,23400.302910916507
167,112161,168393.99096228043
168,112162,122699.08464902965
169,112163,40490.689557803795
170,112164,87779.8742443109
171,112165,136812.1936964388
172,112166,71573.71474930737
173,112167,49152.540738072246
174,112168,69897.6586969425
175,112169,218132.07833999023
176,112170,215110.13336665463
177,112171,81035.66777829034
178,112172,-8992.729256201535
179,112173,153589.8153725965
180,112174,-14915.816969335545
181,112175,61715.12638858426
182,112176,-546.7263942696154
183,112177,94178.5005600662
184,112178,-38811.79651595792
185,112179,10558.991790905595
186,112180,-17322.46077961335
187,112181,3228.050345227588
188,112182,213084.0712923631
189,112183,113279.70892517082
190,112184,-23263.602081778925
191,112185,333509.2794282767
192,112186,3853.8400812237523
193,112187,148275.77521216637
194,112188,158895.39412277332
195,112189,23829.930123674218
196,112190,58943.08409636933
197,112191,88607.76839988865
198,112192,320731.7549217432
199,112193,16807.350601534825
200,112194,181956.68226830196
201,112195,78814.4732950842
202,112196,-43206.422925996594
203,112197,333378.54731159797
204,112198,57797.31113756774
205,112199,24042.97226631362
206,112200,32628.1936794403
207,112201,265499.93697976833
208,112202,143699.9234090629
209,112203,25204.1370887924
210,112204,47974.43638970656
211,112205,-25941.07361285528
212,112206,146373.94847393734
213,112207,375789.50060503697
214,112208,52021.5747860386
215,112209,443093.2693779669
216,112210,56528.91769071622
217,112211,214982.73980387487
218,112212,82161.02234027628
219,112213,-6287.815724012442
220,112214,291925.59689290496
221,112215,64967.121888287365
222,112216,114218.26570030255
223,112217,-7438.6471341145225
224,112218,-1171.8525969362818
